source,table,label,priority_channel,duration,snd_nbr,comment
sounds,,tm_sel_stats,00001H,27,0260H,
sounds,,combo_but1,01001H,32,036bH,
sounds,,combo_but2,01002H,32,036cH,
sounds,,combo_but3,01003H,32,036dH,
sounds,,combo_but4,01004H,32,036eH,
sounds,,powrup_awrd1,02501H,45,0222H,
sounds,,powrup_awrd2,02501H,45,0222H,no track two
sounds,,powrup_awrd3,02503H,45,0224H,
sounds,,powrup_awrd4,02504H,45,0225H,
sounds,,tick_snd,01504H,20,01fdH,
sounds,,warn_snd,01504H,25,0283H,1fd
sounds,,tfire_tcksnd,01504H,35,0176H,27f
sounds,,tfire_outsnd,01504H,70,0400H,
sounds,,alert_snd,02704H,50,015eH,
sounds,,ot_alert_snd,02504H,50,03b6H,
sounds,,infoex_snd,00501H,18,0260H,
sounds,,sqk1_snd,00103H,25,08bH,Sneaker squeek
sounds,,sqk2_snd,00103H,25,08dH,
sounds,,sqk3_snd,00103H,25,090H,
sounds,,sqk4_snd,00103H,25,093H,
sounds,,sqk5_snd,00103H,25,097H,
sounds,,sqk6_snd,00103H,25,09aH,
sounds,,scuf1_snd,00103H,25,0b5H,
sounds,,scuf2_snd,00103H,25,0b6H,
sounds,,scuf3_snd,00103H,25,0b7H,
sounds,,scuf4_snd,00103H,25,0b8H,
sounds,,fball_snd,01903H,104,02e2H,
sounds,,fpass_snd,01903H,85,0c9H,fire ball pass sound
sounds,,rim_fire_snd,0350BH,90,0ccH,
sounds,,netmush_snd,03503H,80,0ceH,
sounds,,aly_pass_snd,01903H,104,02e2H,
sounds,,aly_rcv_snd,0200CH,20,09bH,
sounds,,pass_snd,01204H,20,0bbH,147
sounds,,swipe_snd,01401H,20,0130H,
sounds,,elbow1_snd,01601H,35,0180H,
sounds,,elbow2_snd,01601H,35,0186H,
sounds,,push1_snd,01101H,30,0183H,
sounds,,flail_snd,01501H,30,0180H,
sounds,,fall1_snd,01501H,26,0183H,
sounds,,land_snd,01401H,15,0a2H,(a4-tr3)
sounds,,yell_snd,01201H,100,0198H,
sounds,,flsh1_snd,00501H,19,0177H,
sounds,,flsh3_snd,00503H,19,0179H,
sounds,,flsh4_snd,00504H,19,017aH,
sounds,,boo_snd,01204H,179,01ddH,e6
sounds,,boo1_snd,01204H,179,01ddH,e6
sounds,,tip_snd,0200CH,23,09eH,19f	;9b
sounds,,eat_snd,08501H,10,037bH,**
sounds,,organ1_snd,00504H,75,01a6H,
sounds,,organ2_snd,00504H,60,01a8H,
sounds,,organ3_snd,00504H,50,01aaH,
sounds,,organ8_snd,00504H,135,01b4H,
sounds,,organ9_snd,00504H,98,01b6H,
sounds,,organ10_snd,00504H,100,01b8H,
sounds,outdr_snd_tbl,car_pass_snd,01504H,90,01c7H,
sounds,outdr_snd_tbl,siren_snd,01504H,145,01c9H,** TURN UP **
sounds,outdr_snd_tbl,prop_ple_snd,01504H,100,020cH,
sounds,outdr_snd_tbl,chrch_bel_sp,01504H,140,0210H,
sounds,outdr_snd_tbl,car_pas2_snd,01504H,130,0212H,
sounds,outdr_snd_tbl,ambulne_snd,01504H,120,0214H,
sounds,outdr_snd_tbl,ambulne2_snd,01504H,120,0216H,
sounds,outdr_snd_tbl,fire_trk_snd,01504H,120,0218H,
sounds,,crwd_blchrs,01504H,182,01e5H,ed
sounds,,crwd_go_team,01504H,101,01f5H,f4
sounds,,crwd_defence,01504H,186,01e1H,eb
sounds,,swish_snd1,0310BH,27,083H,regular net
sounds,,swish_snd2,0310BH,27,084H,
sounds,,swish_snd3,0310BH,27,086H,
sounds,,swish_snd4,0310BH,32,0afH,chain net (outdoor court)
sounds,,swish_snd5,0310BH,32,0b0H,
sounds,,swish_snd6,0310BH,32,0afH,
sounds,,dunk_snd1,0320BH,58,066H,
sounds,,dunk_snd2,0320BH,54,066H,
sounds,,dunk_snd3,0320BH,56,066H,
sounds,,dunk_snd4,0320BH,48,06cH,
sounds,,dunk_snd5,0320BH,53,0adH,outdoor court
sounds,,spn_mv_snd,01503H,30,010fH,
sounds,,miss1_snd,03103H,32,074H,
sounds,,miss2_snd,03103H,21,075H,
sounds,,miss3_snd,03103H,23,077H,
sounds,,miss4_snd,03103H,23,077H,
sounds,,miss5_snd,03103H,25,0aeH,outdoor court
sounds,,missd1_snd,03103H,77,011fH,
sounds,,hitbkbd_snd,01503H,20,070H,
sounds,,hitbkbd2_snd,01503H,20,082H,outdoor court
sounds,,stealsb,0200CH,20,09bH,
sounds,,swat_snd,0200CH,20,09bH,a3	;slap ball sound
sounds,,intercept,03003H,33,0169H,16a
sounds,,steal_snd,03003H,33,0169H,16a	;flash ball sound
sounds,,dribble_snd,01003H,20,06dH,64
sounds,,dribble2_snd,01004H,23,0bfH,
sounds,,dribble3_snd,01003H,20,06eH,
sounds,,trns1_snd,00501H,29,0130H,
sounds,,trns2_snd,00502H,29,0139H,
sounds,,trns3_snd,00503H,29,013eH,
sounds,,trns4_snd,00504H,29,0137H,
sounds,,trnd1_snd,00601H,30,0397H,
sounds,,trnd2_snd,00602H,30,0398H,
sounds,,trnd3_snd,00603H,30,0399H,
sounds,,trnd4_snd,00604H,30,039aH,
sounds,,untrns1_snd,00901H,29,0130H,
sounds,,untrns2_snd,00902H,29,0139H,
sounds,,untrns3_snd,00903H,29,013eH,
sounds,,untrns4_snd,00904H,29,0137H,
sounds,,robo_1_snd,03401H,204,0bb0H,End wave snd
sounds,,robo_2_snd,03403H,109,0ba2H,Effect 1 - storm cloud on
sounds,,robo_3_snd,03401H,109,0b90H,flash ABA ball white
sounds,,hs_shot_snd,01803H,50,0b92H,take a hotspot shot
sounds,,helicptr_snd,01603H,90,0a6H,
sounds,dunk_fx_tbl,jet4_snd,01603H,70,02f9H,
sounds,dunk_fx_tbl,jet1_snd,01603H,80,0108H,
sounds,dunk_fx_tbl,jet2_snd,01603H,80,0128H,
sounds,dunk_fx_tbl,jet3_snd,01603H,80,0126H,
sounds,dunk_fx_tbl,tarzan,01603H,70,0123H,
sounds,,shatter_snd,01402H,76,07bdH,Breaking glass		Chan 2
sounds,,shattero_snd,01402H,76,0410H,Breaking wood		Chan 2
sounds,,mk1_snd,01403H,76,0b55H,A wild Shang appears!  Chan 3
sounds,,mk3_snd,01404H,76,040DH,A wild Forden appears! Chan 4
sounds,,mk3_fatal,00100h,76,040FH,Fatality!
sounds,,tm_fire_tune,00100H,100,25,
sounds,,buyin_tune,00100H,100,11,
sounds,,pregame_tune,00100H,100,13,1
sounds,,tunegc_snd,00100H,100,3,Grand champion play tune
sounds,,tuneq1_snd,00100H,100,5,
sounds,,tuneq1ed_snd,00100H,100,51,
sounds,,tuneq2_snd,00100H,100,14,
sounds,,tuneq2ed_snd,00100H,100,53,
sounds,,tuneq3_snd,00100H,100,5,
sounds,,tuneq3ed_snd,00100H,100,51,
sounds,,tuneq4_snd,00100H,100,14,
sounds,,tuneq4ed_snd,00100H,100,51,
sounds,,tuneot_snd,00100H,100,5,
sounds,,tuneoted_snd,00100H,100,51,
sounds,,tune_wingame,00100H,100,24,
sounds,,tune_gmovr,00100H,100,18,
sounds,,hangtime_snd,00100H,100,19,
sounds,,tunehalf_snd,00100H,100,39,halftime tune
sounds,,tune_cap_snd,00100H,100,7,create-a-player tune
sounds,,tuneend_snd,00100H,100,0,kill any tune
speech,ball_loose_sp_tbl,cheer_snd,01004H,110,01cdH,
speech,ball_loose_sp_tbl,cheer1_snd,01004H,110,01d1H,
speech,ball_loose_sp_tbl,cheer2_snd,01004H,110,01d5H,
speech,,cheer3_snd,01004H,110,01d9H,
speech,,cheer4_snd,01004H,110,01d5H,
speech,,crwdbed_kill,07102H,25,0dcH,
speech,,crwdbed_tune,07002H,799,0ddH,
speech,,crwdbd2_tune,07002H,799,0dbH,
speech,,crwd_arbl_sp,02404H,135,01edH,f0
speech,,midway_sp,0200DH,67,0b00H,
speech,,max_hngtm_sp,0200DH,93,07beH,"""Super Maximum Hangtime"""
speech,,at_hlftme_sp,0150DH,61,0adcH,
speech,,gm_undrwy_sp,0150DH,70,0adbH,
speech,,heres_tip_sp,0150DH,61,0b20H,
speech,,overtime_sp,0200DH,60,0addH,
speech,,showtm,0250DH,75,0a9bH,
speech,,tst_triva_sp,0100DH,76,0afdH,
speech,,has_sp,0100DH,20,0af1H,
speech,anc_scr_lngw_tbl,with_sp,0100DH,16,0aefH,
speech,anc_scr_win_tbl,leadng_by_sp,0100DH,56,084eH,
speech,anc_scr_win_tbl,leads_by_sp,0100DH,51,084bH,
speech,anc_scr_win_tbl,lead_by_sp,0100DH,41,0849H,
speech,anc_scr_take_tbl,out_front_sp,0100DH,48,0850H,
speech,anc_scr_win_tbl,by_sp,0100DH,18,0851H,
speech,anc_scr_win_tbl|anc_scr_take_tbl,have_lead_sp,0100DH,57,084fH,
speech,anc_scr_take_tbl,take_lead_sp,0100DH,49,084cH,
speech,anc_scr_take_tbl,taks_lead_sp,0100DH,56,084dH,
speech,,longway_sp,0100DH,73,086eH,
speech,anc_scr_lose_tbl,downby_sp,0100DH,36,0845H,
speech,anc_scr_lose_tbl,behind_by_sp,0100DH,49,0853H,
speech,anc_scr_lose_tbl,catchg_up_sp,0100DH,41,0873H,
speech,anc_scr_tied_tbl,tiegm_sp,0100DH,44,0864H,
speech,anc_scr_tied_tbl,tiethegm_sp,0100DH,51,0869H,
speech,anc_scr_tied_tbl,tied_at_sp,0100DH,69,0866H,
speech,,minute_sp,0100DH,59,0ab4H,
speech,,vs_sp,0100DH,47,0509H,
speech,,wingame_sp,0200DH,45,0863H,
speech,sht_clck_sp_tbl,baddec_sp,0100DH,56,09ebH,
speech,desptab,ohmy,0100DH,62,096fH,
speech,laytab,fancy,0100DH,51,0ae6H,
speech,,matchup_sp,0100DH,65,0ab1H,
speech,wide_opn_tbl,wideopen_sp,0100DH,41,0939H,
speech,wide_opn_tbl,no_prsure_sp,0100DH,48,0a3dH,
speech,wide_opn_tbl,opn_for_3_sp,0100DH,69,0b0aH,
speech,wide_opn_tbl,all_alone_sp,0100DH,42,091cH,
speech,desptab|longtab|3ptab,its_good_sp,0130DH,61,0819H,
speech,,it_is_sp,0100DH,65,0816H,
speech,,off_in_time,0100DH,93,0814H,
speech,2ptab_near|hooktab_near,shrt_rng_sp,0100DH,56,07ebH,
speech,hooktab_near|layup_sp_tbl|fngr_roll_sp_tbl,finese_it_sp,0100DH,47,080fH,
speech,2ptab_med|hooktab_near,frm_post_sp,0100DH,41,07e4H,
speech,hooktab_near,baby_hook_sp,0100DH,47,0802H,
speech,hooktab_near,half_hook_sp,0100DH,46,0804H,
speech,hooktab_near|hooktab_far,hook_shot_sp,0100DH,41,0805H,
speech,hooktab_far,sky_hook_sp,0100DH,74,083fH,
speech,hooktab_far,sky_hook2_sp,0100DH,72,0b09H,
speech,hooktab_far,rgt_hndr_sp,0100DH,69,0830H,
speech,hooktab_far,lft_hndr_sp,0100DH,67,0831H,
speech,2ptab_near|2ptab_med|2ptab_far|hooktab_far,for_two_sp,0100DH,40,0b08H,
speech,2ptab_med,from_15_sp,0100DH,45,0b0dH,
speech,2ptab_far,from_18_sp,0100DH,45,0b0eH,
speech,2ptab_far,from_20_sp,0100DH,35,0b0fH,
speech,2ptab_near|2ptab_med|2ptab_far|hooktab_near|hooktab_far,shoots1_sp,0100DH,37,083cH,**
speech,2ptab_near|2ptab_med|2ptab_far|3ptab|hooktab_near,shoots2_sp,0100DH,42,083cH,
speech,2ptab_near|2ptab_med|hooktab_near|fngr_roll_sp_tbl,shoots3_sp,0100DH,33,083dH,
speech,3ptab,from_arc_sp,0100DH,40,07e1H,
speech,2ptab_far,tp_circle_sp,0100DH,63,0b1cH,
speech,3ptab,fm_3pline_sp,0100DH,80,07e5H,
speech,3ptab,for_thre1_sp,0100DH,47,07e6H,
speech,longtab|3ptab,frm_dwntn_sp,0100DH,67,07e9H,
speech,3ptab,bhd_3_arc_sp,0100DH,69,0825H,
speech,3ptab,frm_3_arc_sp,0100DH,65,0826H,
speech,3ptab,for_thre2_sp,0100DH,45,082aH,
speech,3ptab,for_thre3_sp,0100DH,51,0839H,
speech,3ptab,frm_outsd_sp,0100DH,63,083bH,
speech,desptab|longtab,unlod_one_sp,0100DH,68,07ffH,
speech,longtab|3ptab,frm_l_rng_sp,0100DH,63,0801H,
speech,desptab,hail_mary_sp,0100DH,59,0a22H,
speech,,agn_shoot_sp,0100DH,55,080dH,
speech,,it_culdbe_sp,0100DH,60,080cH,
speech,,could_tie_sp,0100DH,77,0b04H,
speech,desptab|longtab,outof_rng_sp,0100DH,84,09b9H,
speech,desptab,outof_rg2_sp,0100DH,84,09b9H,
speech,desptab|longtab,out_cntrl_sp,0100DH,58,09bdH,
speech,,rainbow_sp,0110DH,70,09f2H,
speech,inface_sp_tbl|desptab|longtab,difficult_sp,0100DH,56,09afH,
speech,,swith_hnd_sp,0110DH,53,0823H,
speech,,spn_shtup_sp,0110DH,56,07fdH,
speech,,a_fngr_rl_sp,0110DH,55,0902H,
speech,inface_sp_tbl,hnd_face_sp,0100DH,67,0b24H,
speech,desptab,ill_shot_sp,0100DH,60,0b25H,
speech,inface_sp_tbl,frcd_shot_sp,0100DH,56,0b2dH,
speech,desptab|longtab,wild_shot_sp,0100DH,56,0b2eH,9bb
speech,desptab,lfts_wild_sp,0100DH,87,09bbH,
speech,alleyoop_tab,alley_oop_sp,0100DH,63,0a18H,
speech,,alyoop_ps_sp,0100DH,63,0a1aH,
speech,alleyoop_tab,thr_tmwrk_sp,0100DH,61,0a9dH,
speech,alleyoop_tab,thr_smkn_sp,0100DH,57,0af5H,
speech,alleyoop_tab,thr_zone_sp,0100DH,65,0b05H,
speech,alleyoop_tab,whta_show_sp,0100DH,57,0958H,AMM: Unused
speech,lob_spch_tbl,dble_dnk_sp,0120DH,55,0b3aH,
speech,lob_spch_tbl,dble_dnk2_sp,0120DH,78,0b38H,
speech,lob_spch_tbl,lob_pass_sp,0120DH,55,0a1cH,
speech,lob_spch_tbl,scp_tmate_sp,0120DH,85,0b3bH,
speech,lob_spch_tbl,the_scoop_sp,0120DH,51,0b3cH,
speech,lob_spch_tbl,lev_tmate_sp,0120DH,83,0b3dH,
speech,,got_hspot_sp,0140DH,76,0b40H,
speech,brick_sp_tbl,cantbuy_sp,0100DH,68,09ecH,
speech,,rtle_arnd_sp,0100DH,77,09d2H,
speech,,ugly_shot_sp,0100DH,71,09e6H,
speech,,putup_brk_sp,0100DH,66,09b2H,
speech,,look_out_sp,0100DH,41,0a6fH,
speech,nogood_sp_tbl|brick_sp_tbl,nogood_sp,0130DH,31,09d4H,
speech,nogood_sp_tbl|brick_sp_tbl,mis_fires_sp,0100DH,56,09d8H,
speech,brick_sp_tbl,what_was_sp,0100DH,66,0b2bH,
speech,brick_sp_tbl,there_brk_sp,0100DH,66,09b5H,
speech,nogood_sp_tbl,dwn_luck_sp,0100DH,54,0ac9H,
speech,nogood_sp_tbl|brick_sp_tbl,missed_sp,0100DH,30,09d6H,
speech,,mised_agn_sp,0100DH,59,09d7H,unused
speech,,he_misagn_sp,0100DH,65,09b7H,he missed again
speech,nogood_sp_tbl,hita_barn_sp,0100DH,124,0a98H,
speech,sht_clck_sp_tbl,wht_thnk2_sp,0100DH,88,09edH,
speech,bckbd_hit_sp_tbl,wht_distr_sp,0100DH,73,0aa8H,
speech,,at_buzzer_sp,0100DH,57,07e8H,
speech,,sht_ball_sp,0100DH,53,0aadH,
speech,nogood_sp_tbl,off_rim_sp,0100DH,46,09bfH,
speech,nogood_sp_tbl,off_frnt_sp,0100DH,54,09c9H,
speech,nogood_sp_tbl,holes_out_sp,0100DH,58,09adH,
speech,nogood_sp_tbl,bnce_out_sp,0100DH,42,09d0H,
speech,nogood_sp_tbl,bnce_away_sp,0100DH,54,09d1H,
speech,nogood_sp_tbl,away_side_sp,0100DH,56,09c7H,
speech,,spins_out_sp,0100DH,45,09cbH,
speech,nogood_sp_tbl|brick_sp_tbl,side_rim_sp,0100DH,61,09c5H,
speech,,off_heel_sp,0100DH,54,09c3H,AMM
speech,,no_sp,0100DH,30,09ccH,
speech,laytab|fingtab|alleyoop_tab,nicly_dne_sp,0100DH,69,0a49H,
speech,laytab|fingtab,got_skilz_sp,0100DH,67,0a97H,
speech,,misd_evry_sp,0100DH,66,09e2H,never heard it.
speech,,way_shrt_sp,0100DH,57,09dfH,unused?
speech,,misd_mile_sp,0100DH,72,09e3H,AMM
speech,,teribl_sh_sp,0100DH,57,09baH,
speech,,airball_sp,0100DH,56,09daH,unused?
speech,,cannonbal_sp,0110DH,58,095bH,
speech,,sumrslts_sp,0110DH,90,096aH,
speech,dnk_high_sp_tbl,goes_flyg_sp,0110DH,68,0acdH,
speech,dnk_high_sp_tbl,hiabv_rim_sp,0110DH,49,0ad4H,
speech,dnk_high_sp_tbl,flies_air_sp,0110DH,100,096cH,
speech,dnk_high_sp_tbl,gldes_air_sp,0110DH,99,096dH,
speech,dnk_low_sp_tbl,raises_up_sp,0110DH,45,082dH,
speech,dnk_high_sp_tbl,serious_h_sp,0110DH,79,0b03H,
speech,great_tab,learn_tht_sp,0110DH,54,097aH,
speech,dnk_low_sp_tbl,goes_up_sp,00905H,37,0951H,
speech,dnk_high_sp_tbl|dnk_low_sp_tbl,goes_hoop_sp,0110DH,59,095fH,
speech,dnk_low_sp_tbl,tks2_hoop_sp,0110DH,51,0a36H,
speech,,fly_1hdnr_sp,0110DH,76,096eH,AMM
speech,great_tab,didnt_knw_sp,0110DH,77,097fH,
speech,,haning_sp,0110DH,34,0a0fH,"AMM ""Hangin!"""
speech,,ooooooh_sp,0110DH,65,0af7H,
speech,,ooooooh2_sp,0110DH,40,0af7H,
speech,dnk_high_sp_tbl,thrgh_air_sp,0110DH,50,096bH,
speech,dnk_high_sp_tbl,way_upair_sp,0110DH,75,0974H,
speech,dnk_high_sp_tbl,lch_atbkt_sp,0110DH,100,0b03H,serious hangtime
speech,dnk_low_sp_tbl,catapults_sp,0110DH,49,09abH,
speech,,tomahk_dk_sp,0110DH,66,0965H,
speech,,tomahk_hm_sp,0110DH,79,0966H,
speech,ball_loose_sp_tbl,shuld_pas_sp,0100DH,75,0a6eH,
speech,ball_loose_sp_tbl,he_lst_bl_sp,0100DH,75,0a74H,
speech,ball_loose_sp_tbl,he_lostit_sp,0100DH,75,0a77H,
speech,ball_loose_sp_tbl,bal_loose_sp,0100DH,75,0a7dH,
speech,,fades_sp,0100DH,21,0b10H,
speech,,fadeaway_sp,0100DH,80,0b11H,
speech,,leans_bck_sp,0100DH,80,0b17H,
speech,,leans_sp,0100DH,21,0b14H,
speech,,leans_in_sp,0100DH,80,0b16H,
speech,,pull_jmpr_sp,0100DH,80,0838H,
speech,,bslne_lnr_sp,0100DH,45,0b30H,
speech,,getslkbnc_sp,0100DH,60,092eH,gets a lucky bounce (longer)
speech,lucky_bnce_tbl,luky_bnce_sp,0100DH,58,092fH,a lucky bounce
speech,desptab|longtab|lucky_bnce_tbl,per_luck_sp,0100DH,64,0946H,AMM
speech,desptab,luky_bskt_sp,0100DH,82,0948H,"AMM ""There's a lucky basket"""
speech,desptab|great_tab,kakaboom_sp,0100DH,69,091bH,
speech,easy_tab|med_tab|good_tab|great_tab,kaboom1_sp,0100DH,38,0b2aH,91a
speech,easy_tab|med_tab|good_tab|great_tab,kaboom2_sp,0100DH,34,091aH,
speech,great_tab,isit_shoe_sp,0100DH,62,091eH,
speech,facial_sp_tbl,facial_sp,0100DH,80,0b42H,
speech,desptab|longtab,unbelieve_sp,0100DH,53,0931H,
speech,good_tab|great_tab,u_c_that_sp,0100DH,65,0932H,
speech,good_tab|great_tab,oh_man_sp,0100DH,52,0934H,
speech,good_tab|facial_sp_tbl,no_stopng_sp,0100DH,75,0942H,
speech,good_tab,postr_jam_sp,0100DH,67,0956H,
speech,easy_tab|med_tab|good_tab,jam_it_in_sp,0100DH,83,095aH,AMM
speech,good_tab,thndr_dnk_sp,0100DH,60,0960H,AMM
speech,med_tab,throws_it_sp,0100DH,66,0963H,
speech,good_tab,pounds_it_sp,0100DH,62,0964H,
speech,desptab|laytab|med_tab|good_tab,incredble_sp,0100DH,49,0970H,
speech,,superdunk_sp,0100DH,75,0971H,"AMM - unused ""A Super Dunk!"""
speech,longtab,incrd_sht_sp,0100DH,75,090eH,
speech,3ptab|good_tab|great_tab,outstndng_sp,0100DH,67,0aaaH,AMM
speech,longtab|3ptab|great_tab,amazing_sp,0100DH,57,0912H,
speech,easy_tab|med_tab,he_dnk_it_sp,0100DH,33,0961H,
speech,easy_tab,dunks_it_sp,0100DH,24,0962H,
speech,easy_tab,jams_it_sp,0100DH,35,097cH,
speech,good_tab|great_tab,spect_dnk_sp,0100DH,81,0988H,
speech,easy_tab,slam_dunk_sp,0100DH,51,0989H,"AMM Unused? ""Slam Dunk"""
speech,easy_tab|med_tab,he_slams_sp,0100DH,42,098bH,
speech,easy_tab|med_tab|great_tab,with_ajam_sp,0100DH,65,0997H,"AMM Unused ""finishes with a jam"""
speech,,with_aja2_sp,0100DH,49,0998H,
speech,med_tab|great_tab,powr_jams_sp,0100DH,73,09a6H,
speech,head_fake_sp_tbl,head_fake_sp,0050DH,24,0a8eH,
speech,head_fake_sp_tbl,the_fake_sp,0050DH,26,0a8fH,
speech,head_fake_sp_tbl,pump_fake_sp,0050DH,30,0a91H,
speech,2tab,hits_jmpr_sp,0100DH,25,0906H,
speech,2tab,good_4two_sp,0100DH,50,090aH,
speech,3ptab,a_trey_sp,0100DH,42,082bH,
speech,longtab|3ptab,he_scores_sp,0100DH,56,093bH,
speech,longtab|2bkbdhit_tab|2tab|3ptab,scores_sp,0100DH,37,07deH,
speech,longtab|2bkbdhit_tab|2tab|3ptab,scores2_sp,0100DH,52,07dfH,
speech,,score_agn_sp,0100DH,70,07f3H,
speech,,good_agn_sp,0100DH,47,07f4H,
speech,2tab|3ptab,yes_sp,0100DH,33,0b33H,
speech,3ptab,goooood_sp,0100DH,42,0818H,
speech,2tab|3ptab,goooood2_sp,0100DH,42,0903H,
speech,3ptab,money_bnk_sp,0100DH,33,0b33H,
speech,2tab|3ptab,chk_it_up_sp,0100DH,56,093bH,
speech,3ptab,good_4_3_sp,0100DH,69,0929H,
speech,,for_3_sp,0100DH,58,092aH,AMM - For threeee
speech,3ptab,thats_3_sp,0100DH,58,092bH,
speech,good_tab,fantastic_sp,0100DH,73,0a99H,
speech,3ptab,drains_it_sp,0100DH,38,093fH,
speech,2tab|lucky_bnce_tbl,it_falls_sp,0100DH,42,090dH,
speech,lucky_bnce_tbl,falls_in_sp,0100DH,48,091fH,
speech,2tab,kncks_dwn_sp,0100DH,54,092cH,
speech,2tab,and_drops_sp,0100DH,56,0943H,
speech,2tab|3ptab,dwn_well_sp,0100DH,90,094bH,
speech,med_tab|good_tab|great_tab|alleyoop_tab,bomshakalaka,0100DH,56,0afcH,
speech,med_tab|good_tab|great_tab,rama_dong_sp,0100DH,80,0b47H,
speech,,hlftm_ldr_sp,0160DH,73,0ae9H,
speech,,gmevr_ldr_sp,0160DH,73,0aeaH,
speech,,spin_mv1_sp,0100DH,60,07f7H,
speech,,spin_mv2_sp,0100DH,60,0991H,
speech,,spin_mv3_sp,0100DH,60,0993H,
speech,2tab|3ptab,chalk_it_sp,0100DH,38,0b48H,
speech,2tab,book_it_sp,0100DH,28,08ffH,
speech,2tab|3ptab,count_it_sp,0100DH,39,090bH,
speech,2tab|3ptab,bingo_sp,0100DH,41,0ae2H,
